"Authors:Hyeon-eui Kim, Philippe Rocca-Serra, Alejandra Gonzalez-Beltran",,,,,,,,,,,,
,taxonomy,The taxonomic information for this material (ideally specified from a controlled vocabulary/ontology).,TaxonomicInformation,0..n,MAY,,,,,"""homo sapiens""",,
,involvedInBiologicalEntity,A biological process (ideally specified from a controlled vocabulary/ontology) in which the material is involved.,BiologicalEntity,0..n,MAY,,,,,,,
,spatialCoverage,The spatial coordinates denoting the geospatial origin of the material used to produce measurements part of the dataset.,Annotation,0..n,MAY,,,,,,,
,characteristics,The characteristic information or attributes denoting the material.,Dimension or Material,0..n,MAY,,,,,,,
,roles,The roles played by a material.,Annotation,0..n,SHOULD,,,,,"""patient""",,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,"PERSON, DEATH","gender_concept_id, year_of_birth, month_of_birth, day_of_birth, birth_datetime, race_concept_id, death_date, death_datetime, death_type_concept_id, cause_concept_id",,,To consider: Analyse use of extraProperties  to put patient demographics or how to link to a DIMENSION representation. Should DATS add dates to any property? It could be a handy shortcut.,
,,,,,,,,,,,,
Material,,A physical entity.,,,,,SPECIMEN,,,,Material is also used to map SPECIMEN ,
,identifier,Primary identifier for the material.,IdentifiersInformation,0..1,SHOULD,,SPECIMEN,specimen_id,,,,
,alternateIdentifiers,Alternate identifiers for the material.,AlternateIdentifiersInformation,0..n,MAY,,SPECIMEN,,,,,
,relatedIdentifiers,Related identifiers for the material.,RelatedIdentifiersInformation,0..n,MAY,,SPECIMEN,,,,,
,name,The name of the material.,string,1,MUST,,SPECIMEN,specimen_concept_id,,,,
,description,A textual narraive comprised of one or more statements describing the material,string,0..1,SHOULD,,,,,,,
,derivesFrom,A material from which this material originated.,Material or AnatomicalPart,0..n,MAY,,SPECIMEN,person_id or anatomic_site_concept_id (as it covers tissue/body part origin),,,,
,bearerOfDisease,The pathology affecting the material used in the study or refered to in the dataset (ideally from a controlled vocabulary/ontology).,Disease,0..n,MAY,,,,,,,
,taxonomy,The taxonomic information for this material (ideally specified from a controlled vocabulary/ontology).,TaxonomicInformation,0..n,MAY,,,,,,,
,involvedInBiologicalEntity,A biological process (ideally specified from a controlled vocabulary/ontology) in which the material is involved.,BiologicalEntity,0..n,MAY,,,,,,,
,spatialCoverage,The spatial coordinates denoting the geospatial origin of the material used to produce measurements part of the dataset.,Annotation,0..n,MAY,,,,,,,
,characteristics,The characteristic information or attributes denoting the material.,Dimension or Material,0..n,MAY,,,,,,,
,roles,The roles played by a material.,Annotation,0..n,SHOULD,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,SPECIMEN,"specimen_date, specimen_datetime, quantity, unit_concept_id, anatomic_site_concept_id, disease_statis_concept_id",,,"Now, if this extraProperty use is allowed self-reference of Materials would become a way complicated (now, many to many) ",
,,,,,,,,,,,,
Person,,A human being.,,,,,,,,,CDM holder,
,identifier,Primary identifier for the person.,IdentifiersInformation,0..1,SHOULD,,PROVIDER,provider_id,a unique identifier for each Provider,,,
,alternateIdentifiers,Alternate identifiers for the person.,AlternateIdentifiersInformation,0..n,MAY,,PROVIDER,npi,National Provider Identifier (NPI) of the provider,,,
,relatedIdentifiers,Related identifiers for the person.,RelatedIdentifiersInformation,0..n,MAY,,PROVIDER,dea,Drug Enforcement Administration (DEA) number of the provider,,,
,fullName,"The first name, any middle names, and surname of a person.",string,1,SHOULD,,PROVIDER,provider_name,a description of the provider,,,
,firstName,The given name of the person.,string,1,MAY,,,,,,,
,middleInitial,The first letter of the person's middle name.,string,0..n,MAY,,,,,,,
,lastName,The person's family name.,string,1,SHOULD,,,,,,,
,email,An electronic mail address for the person.,string (format=email),0..1,SHOULD,,,,,,,
,affiliations,The organizations to which the person is associated with.,Organization,0..n,SHOULD,,PROVIDER,care_site_id,a goreign key to the main Care Site where the provider is practicing,,foreign key to Care Site,
,roles,"The roles assumed by a person, ideally from a controlled vocabulary/ontology.",Annotation,0..n,MAY,,,,,"""provider"" or ""clinician""",,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,PROVIDER,"specialty_concept_id, year_of_birth, gender_concept_id",,,"To consider: ID uniqueness concern if this is allowed, make Person a subclass of Material, and then it would inherit some properties (e.g. gender)",
,,,,,,,,,,,,
Organization,,Legal or physical entity corresponding to a business or administration,,,,,,,,,,
,identifier,Primary identifier for the organization.,IdentifiersInformation,0..1,SHOULD,,CARE_SITE,care_site_id,a unique identifier for each Care Site,,,
,alternateIdentifiers,Alternate identifiers for the organization.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the organization.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the organization.,string,1,MUST,,CARE_SITE,care_site_name,the description or name of the Care Site,,,
,abbreviation,"The shortname, abbreviation associated to the organization.",string,0..1,MAY,,,,,,,
,postalAddress,"The postal, street address associated to the organization.",string,0..1,MAY,,LOCATION,"address_1, address_2, city, satate, zip, county",,,,
,roles,"The roles of the organization, ideally from a controlled vocabulary/ontology.",Annotation,0..n,MAY,,,,,"""care site""",,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Entity,Property,Definition,Value(s),Cardinality,Requirement Level,,,,,,,
,,,,,,,,,,,,
EXTENDED DATS- v.2.1,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TaxonomicInformation,,"The classification and nomenclature for an organism, or living entity.",,,,,,,,,,
,identifier,Primary identifier for the taxonomic information.,IdentifiersInformation,0..1,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the taxonomic information.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the taxonomic information.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The scientific name of detailing an entity,string,1,MUST,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Activity,"Superclass for Study, DataAnalysis, DataAcquisition, Treatment",A type of process scheduled in a study,,,,,,,,,,
,identifier,Primary identifier for the activity.,IdentifiersInformation,0..1,SHOULD,,VISIT_OCCURRENCE,visit_occurrence_id,,,"While this mapping is correct at of DATS2.2, it is interesting to discuss if worth having direct relation (input/output) between Activity and Material, so one can express procedure/action related elements independently from having to declare a study. PRO: adds possibility without massively changing the model / CONs: would require new release",
,alternateIdentifiers,Alternate identifiers for the activity.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the activity.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,"The name of the activity, usually one sentece or short description of the activity.",string,1,MUST,,,,,,,
,description,A textual narrative comprised of one or more statements describing the activity.,string,0..1,SHOULD,,,,,,,
,startDate,A timestamp to record the starting point of the activity.,Date,0..1,SHOULD,,VISIT_OCCURRENCE,"visit_start_date, visit_start_datetime",,,,
,endDate,A timestamp to record the end point of the activity.,Date,0..1,SHOULD,,VISIT_OCCURRENCE,"visit_end_date, visit_end_datetime",,,,
,dates,"Relevant dates, the date of the publication must be provided.",Date,0..n,MAY,,,,,,,
,duration,The time during which the activity takes place.,string,0..1,MAY,,,,,,,
,location,The location where the activity takes place.,Annotation,0..1,MAY,,VISIT_OCCURRENCE,care_site_id,,,,
,performedBy,The person(s) or organisation(s) responsible for executing the process.,Person or Organization,0..n,SHOULD,,VISIT_OCCURRENCE,provider_id,,,,
,keywords,"Tags associated with the activity, which will help in its discovery.",Annotation,0..n,MAY,,,,,,,
,input,The entities used as input.,Material or Dataset,0..n,MAY,,PERSON,person_id,,,,
,output,The entities resulting from applying the activity.,Material or Dataset,0..n,MAY,,PERSON,person_id,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Study,(subclassOf Activity),"Process (or activity) to acquire data on a sample and attempt to draw conclusions about the population the sample has been selected from, executing a plan and design",,,,,,,,,,
,identifier,Primary identifier for the activity.,IdentifiersInformation,0..1,SHOULD,,,,a unique identifier for each Person's visit or encounter at a healthcare provider,,,
,alternateIdentifiers,Alternate identifiers for the activity.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the activity.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,"The name of the study, usually one sentence or short description of the study.",string,1,MUST,,,,,,,
,description,A textual narrative comprised of one or more statements describing the study.,string,0..1,SHOULD,,,,,,,
,startDate,A timestamp to record the starting point of the activity.,Date,0..1,SHOULD,,,,,,,
,endDate,A timestamp to record the end point of the activity.,Date,0..1,SHOULD,,,,,,,
,dates,Any other relevant date.,Date,0..n,MAY,,,,,,,
,duration,The time during which the activity takes place.,string,0..1,MAY,,,,,,,
,location,The geographical location where the activity is performed.,Annotation,0..1,SHOULD,,,,,,,
,performedBy,The person(s) or organisation(s) responsible for executing the process.,Person or Organization,0..n,SHOULD,,,,,,,
,keywords,Terms providing insights into the main topics and features of the study.,Annotation,0..n,MAY,,,,,,,
,input,The entities used as input.,Material or Dataset,0..n,MAY,,,,,,,
,output,The entities resulting from applying the activity.,Material or Dataset,0..n,SHOULD,,,,,,,
,schedulesActivity,The activities scheduled by the study.,Activity,0..n,SHOULD,,,,,,,
,schedulesDataAcquisition,The kind of techniques and response variables used during a study for acquiring data.,DataAcquisition,1..n,MUST,,,,,,,
,types,"The types of study (e.g. intervention or observation or meta-analysis or clinical trials, or behavioural study, or the study design).",Annotation,0..n,SHOULD,,VISIT_OCCURRENCE,visit_concept_id,a foreign key that refers to a visit Concept identifier in the standardized vocabularies,,,
,selectionCriteria,The attributes and values that the material should meet in order to be part of the group.,Annotation or CategoryValuesPair,0..n,SHOULD,,,,,,,
,studyGroups,The different study groups associated with a study.,StudyGroup,0..n,MAY,,,,,,To be considered: it seems this needs to be populated to establish links to treatment and person,
,usesReagent,The materials that are used as reagents (but not subjects) of the study.,Material,0..n,MAY,,,,,,,
,isAboutBiologicalEntity,The biological entities relevant to the study (ideally from a controlled vocabulary/ontology).,BiologicalEntity,0..n,SHOULD,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,VISIT_OCCURRENCE,"admitting_source_id, discharge_to_concept_id",,,,
,,,,,,,,,,,,
Treatment,(subclassOf Activity),"Process, part of a study, consisting in exposing participants in the study to different conditions or grouping those participants into different categories based on specific criteria and compare their outcomes",,,,,We map the therapeutic PROCEDURE_OCURRENCE to DATS.Treatment,,,,,
,identifiers,Primary identifier for the activity.,IdentifiersInformation,1..n,SHOULD,,DRUG_EXPOSURE  DEVICE_EXPOSURE PROCEDURE_OCCURRENCE,"drug_exposure_id,  device_exposure_id, procedure_occurrence_id",,,"To be considered: Rename DATS.Treatment to DATS.exposure to dissipate the association between DATS and intervention , thereby broadening appeal.",
,alternateIdentifiers,Alternate identifiers for the activity.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the activity.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,"The name of the activity, usually one sentece or short description of the activity.",string,1,MUST,,DRUG_EXPOSURE  DEVICE_EXPOSURE PROCEDURE_OCCURRENCE,"drug_concept_id, device_concept_id, procedure_concept_id",,,,
,description,A textual narrative comprised of one or more statements describing the treatment.,string,0..1,SHOULD,,,,,,,
,startDate,A timestamp to record the starting point of the activity.,Date,0..1,SHOULD,,DRUG_EXPOSURE  DEVICE_EXPOSURE,"drug_exposure_start_date, drug_exposure_start_datetime, device_exposure_start_date, device_exposure_start_datetime",,,,
,endDate,A timestamp to record the end point of the activity.,Date,0..1,SHOULD,,DRUG_EXPOSURE  DEVICE_EXPOSURE,"drug_exposure_end_date, drug_exposure_end_datetime, device_exposure_end_date, device_exposure_end_datetime",,,,
,dates,Any other relevant date.,Date,0..n,MAY,,PROCEDURE_OCCURRENCE,procedure_date (or same date used in start and end dates),,,,
,duration,The time during which the activity takes place.,string,0..1,MAY,,,,,,,
,location,The geographical location where the activity is performed.,Annotation,0..1,SHOULD,,,,,,,
,performedBy,The person(s) or organisation(s) responsible for executing the process.,Person or Organization,0..n,SHOULD,,DRUG_EXPOSURE  DEVICE_EXPOSURE PROCEDURE_OCCURRENCE,provider_id,,,,
,keywords,Terms providing insights into the main topics and features of the study.,Annotation,0..n,MAY,,,,,,,
,input,The entities used as input.,StudyGroup,1..n,MUST,,,,,,To be considered: connect to the pseudo study group to establish links to patients.,
,output,The entities resulting from applying the activity.,StudyGroup,0..n,MAY,,,,,,To be considered: connect to the pseudo study group to establish links to patients.,
ADD?,uses,The instrument(s) or software(s) used to acquire the signal.,Instrument or Software,,,,,,,,,
,agent,The nature of the perturbation or intervention used in the treatment.,MolecularEntity;Material;Activity;IRI;string,0..1,SHOULD,,,,,,,
,intensity,A measurement about how acute the perturbation is.,"string if qualitative, double if quantitative",0..1,SHOULD,,"DRUG_EXPOSURE  DEVICE_EXPOSURE, PROCEDURE_OCCURRENCE",quantity,,"For procedure, quantity is about the number of times the procedure is applied; thus, we map it to intensity; For drugs, quantity of drug",,
,intensity_unit,,,,,,,,,,intensity_unit needs to be added to DATS.Treatment - associated issue: https://github.com/biocaddie/WG3-MetadataSpecifications/issues/52,
,concomitance,A boolean value to indicate if more that one perturbations are applied at the same time to the same subject.,boolean,0..1,MAY,,,,,,,
,order,The rank in which perturbations are being applied to study subjects.,integer,0..1,MAY,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,DRUG_EXPOSURE  ,"stop_reason, route_concept_id, dose_unit_concept_id ",,,,
,,,,,,,,,,,,
DataAcquisition,(subclassOf Activity),Process (or activity) of generating data through measurement made with specific techniques.,,,,,We map the procedural part of OBSERVATION and MEASUREMENT to DataAcquisition.,,,,,
,identifiers,Primary identifier for the activity.,IdentifiersInformation,1..n,SHOULD,,"OBSERVATION, MEASUREMENT","observation_id, measurement_id",,,,
,alternateIdentifiers,Alternate identifiers for the activity.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the activity.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,"The name of the activity, usually one sentece or short description of the activity.",string,1,MUST,,"OBSERVATION, MEASUREMENT","observation_concept_id, measurement_concept_id",,,,
,description,A textual narrative comprised of one or more statements describing the data acquisition.,string,0..1,SHOULD,,,,,,,
,startDate,A timestamp to record the starting point of the activity.,Date,0..1,SHOULD,,,,,,,
,endDate,A timestamp to record the end point of the activity.,Date,0..1,SHOULD,,,,,,,
,dates,Any other relevant date.,Date,0..n,MAY,,"OBSERVATION, MEASUREMENT","observation_date, measurement_date",,,,
,duration,The time during which the activity takes place.,string,0..1,MAY,,,,,,,
,location,The geographical location where the activity is performed.,Annotation,0..1,SHOULD,,,,,,,
,performedBy,The person(s) or organisation(s) responsible for executing the process.,Person or Organisation,0..n,SHOULD,,"OBSERVATION, MEASUREMENT",provider_id,,,,
,keywords,Terms providing insights into the main topics and features of the study.,Annotation,0..n,MAY,,,,,,,
,input,The entities used as input.,Material,1..n,SHOULD,,"OBSERVATION, MEASUREMENT",person_id,,,,
,output,The entities resulting from applying the activity.,Dataset,1..n,SHOULD,,"OBSERVATION, MEASUREMENT",person_id,,,,
,uses,The instrument(s) or software(s) used to acquire the signal.,Instrument or Software,0..n,MAY,,,,,,no clear link to DEVICE_EXPOSURE in OMOP,
,measures,The dimension(s) being acquired as signal.,Dimension,1..n,MUST,,"OBSERVATION, MEASUREMENT",link to the Dimension created for this OBSERVATION or MEASUREMENT,,,"no clear link to MEASUREMENT, CONDITION in OMOP",
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,"OBSERVATION, MEASUREMENT","visit_occurrence_id, person_id",,,critical links - not a good place to hold these ids.,
,,,,,,,,,,,,
DataAnalysis ,(subclassOf Activity),Process (or activity) of transforming data and producing data.,,,,,,,,,,
,identifiers,Primary identifier for the data analysis process.,IdentifiersInformation,1..n,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the data analysis process.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the data analysis process.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,"The name of the activity, usually one sentece or short description of the activity.",string,1,MUST,,,,,,,
,description,A textual narrative comprised of one or more statements describing the data analysis.,string,0..1,SHOULD,,,,,,,
,startDate,A timestamp to record the starting point of the activity.,Date,0..1,SHOULD,,,,,,,
,endDate,A timestamp to record the end point of the activity.,Date,0..1,SHOULD,,,,,,,
,dates,Any other relevant date.,Date,0..n,MAY,,,,,,,
,duration,The time during which the activity takes place.,string,0..1,MAY,,,,,,,
,location,The geographical location where the activity is performed.,Annotation,0..1,SHOULD,,,,,,,
,performedBy,The person(s) or organisation(s) responsible for executing the process.,Person or Organisation,0..n,SHOULD,,,,,,,
,keywords,Terms providing insights into the main topics and features of the study.,Annotation,0..n,MAY,,,,,,,
,uses,A software package that may have been using in the data analysis process.,Software,0..n,MAY,,,,,,,
,input,The entities used as input.,Dataset,1..n,MUST,,,,,,,
,output,The entities resulting from applying the activity.,Dataset,1..n,MUST,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
BiologicalEntity,,"A biological entity is a recognized entity covering biological process, molecular functions or cellular components (from: http://geneontology.org/).",,,,,,,,,,
,identifiers,Primary identifier for the biological entity.,IdentifiersInformation,1..n,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the biological entity.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the biological entity.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the biological entity.,string,1,MUST,,,,,,,
,taxonomicInformation,The taxonomic information for this biological entity.,TaxonomicInformation,0..1,MAY,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
StudyGroup,,"A collection of entities known as study subjects based on a set of specified criteria and rules; synonyms: population, cohort.",,,,,,,,,,
,identifiers,Primary identifier for the study group.,IdentifiersInformation,1..n,SHOULD,,COHORT,subject_id,,,,
,alternateIdentifiers,Alternate identifiers for the study group.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the study group.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the study group.,string,1,MUST,,,,,,,
,size,The number of members in the group.,integer,0..1,MAY,,,,,,,
,members,The entities making up the study group.,Material,1..n,SHOULD,,COHORT,subject_id,,,To consider: this seems to be the only way to tie the treatment information back to the patient.,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
MolecularEntity,(subclass of Material),"A physical entity of molecular scales such as proteins, nucleic acids, chemical materials. They can be abiotic, biological or synthetic origin.",,,,,,,,,,
,identifiers,Primary identifier for the molecular entity.,IdentifiersInformation,1..n,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the molecular entity.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the molecular entity.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the molecular entity.,string,1,MUST,,,,,,,
,taxonomy,The taxonomic information for this material (ideally specified from a controlled vocabulary/ontology).,TaxonomicInformation,0..n,MAY,,,,,,,
,characteristics,The characteristic information or attributes denoting the material.,Dimension or Material,0..n,MAY,,,,,,,
,structure,The primary sequence of the molecular entity.,string,0..n,MAY,,,,,,,
,roles,The roles played by the molecular entity.,Annotation,0..n,MAY,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
AnatomicalPart,,A structure that is part of a multicellular organism.,,,,,,,,,,
,identifiers,Primary identifier for the anatomical part.,IdentifiersInformation,1..n,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the anatomical part.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the anatomical part.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the anatomical entity or anatomical part.,string,1,MUST,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Instrument,,An entity that helps an agent perform an activity.,,,,,,,,,To consider: maybe we could use this table to contain standardized device concepts.,
,identifiers,Primary identifier for the instrument.,IdentifiersInformation,1..n,SHOULD,,,,,,,
,alternateIdentifiers,Alternate identifiers for the instrument.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the instrument.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the instrument.,string,1,MUST,,,,,,,
,type,The type of the instrument/technology.,Annotation,0..1,SHOULD,,,,,,,
,isUsedBy,The data acquisition activity that makes use of this instrument.,DataAcquisition,0..n,MAY,,,,,,,
,manufacturer,The person or organisation that produced the instrument.,Person or Organization,0..1,MAY,,,,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,,,,,,
,,,,,,,,,,,,
Disease,,"A disorder of structure or function in a human, animal, or plant, that produces specific symptoms or that affects a specific location.",,,,,,,,,,
,identifiers,Primary identifier for the disease.,IdentifiersInformation,1..n,SHOULD,,CONDITION_OCCURRENCE,condition_occurrence_id,,,,
,alternateIdentifiers,Alternate identifiers for the disease.,AlternateIdentifiersInformation,0..n,MAY,,,,,,,
,relatedIdentifiers,Related identifiers for the disease.,RelatedIdentifiersInformation,0..n,MAY,,,,,,,
,name,The name of the disease.,string,1,MUST,,CONDITION_OCCURRENCE,condition_concept_id,,,,
,extraProperties,Extra properties that do not fit in the previous specified attributes. ,CategoryValuesPair,0..n,MAY,,CONDITION_OCCURRENCE,"condition_start_date, condition_start_datetime, condition_end_date, condition_end_datetime, condition_status_concept_id, stop_reason",,,To consider: analyse related Activity for these elements,
,,,,,,,,,,,,
CategoryValuesPair,,"Extension mechanism for DATS, which allows to add extra properties to the entities. It should be used only for cases where there are no specific properties to deal with the desired property.",,,,,,,,,,
,category,A characteristic or property about the entity this object is associated with.,string,1,,,,,,,,
,categoryIRI,"The IRI corresponding to the category, if associated with an ontology term.",IRI,0..1,,,,,,,,
,values,A set of (annotated) values associated with the cateogory.,Annotation,0..n,,,,,,,,